联赛,赛季,轮次,比赛时间,主队,完场比分,客队,半场比分,bet365亚盘初盘,bet365大小球初盘,bet365胜平负初盘,主队近30场比赛积分,客队近30场比赛积分,主队近3场比赛积分,客队近3场比赛积分,主客队近3场强弱
"挪威超级联赛","2023","R_1","2023-04-10 23:00","斯塔贝克","0-0","奥德格伦兰","0-0","","","",0,0,0,0,0
"挪威超级联赛","2023","R_1","2023-04-10 23:00","特罗姆瑟","1-0","莫尔德","0-0","","","",0,0,0,0,0
"挪威超级联赛","2023","R_1","2023-04-11 01:15","布兰","3-0","海于格松","2-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_3","2023-04-15 21:00","埃尔夫斯堡","5-0","布洛马波卡纳","2-0","","","",1,0,1,0,1
"瑞典超级联赛","2023","R_3","2023-04-15 23:30","赫根","1-3","卡尔马","0-2","","","",6,3,6,3,3
"挪威超级联赛","2023","R_2","2023-04-15 23:59","维京","2-0","利勒斯特罗姆","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 03:00","米内罗美洲","0-3","弗鲁米嫩塞","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 03:00","帕尔梅拉斯","2-1","库亚巴","1-1","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 05:30","巴拉纳竞技","2-0","戈伊亚斯","1-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 05:30","福塔雷萨","1-1","巴西国际","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 05:30","博塔弗戈","2-1","圣保罗","1-1","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 05:30","布拉干蒂诺RB","2-1","巴伊亚","0-1","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-16 08:00","米内罗竞技","1-2","瓦斯科达伽马","1-2","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_3","2023-04-16 21:00","索尔纳","2-0","哈马比","1-0","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_3","2023-04-16 21:00","北雪平","2-1","韦纳穆","1-1","","","",4,3,4,3,1
"挪威超级联赛","2023","R_2","2023-04-16 23:00","博德闪耀","4-0","斯塔贝克","3-0","","","",3,1,3,1,2
"挪威超级联赛","2023","R_2","2023-04-16 23:00","莫尔德","1-1","罗森博格","1-1","","","",0,3,0,3,-3
"挪威超级联赛","2023","R_2","2023-04-16 23:00","斯托姆加斯特","1-0","奥勒松","1-0","","","",0,0,0,0,0
"挪威超级联赛","2023","R_2","2023-04-16 23:00","桑德菲杰","0-0","特罗姆瑟","0-0","","","",0,3,0,3,-3
"挪威超级联赛","2023","R_2","2023-04-16 23:00","奥德格伦兰","2-0","布兰","1-0","","","",1,3,1,3,-2
"挪威超级联赛","2023","R_2","2023-04-16 23:00","海于格松","3-2","汉坎","1-0","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_3","2023-04-16 23:30","哈尔姆斯塔德","2-0","尤尔加登","1-0","","","",3,4,3,4,-1
"瑞典超级联赛","2023","R_3","2023-04-16 23:30","米亚尔比","2-0","代格福什","1-0","","","",4,3,4,3,1
"挪威超级联赛","2023","R_2","2023-04-17 01:15","瓦勒伦加","0-2","萨普斯堡","0-0","","","",3,0,3,0,3
"巴西甲组联赛","2023","R_1","2023-04-17 03:00","科林蒂安","2-1","克鲁塞罗","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-17 03:00","弗拉门戈","3-0","科里蒂巴","1-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_1","2023-04-17 05:30","格雷米奥","1-0","桑托斯","1-0","","","",0,0,0,0,0
"瑞典超级联赛","2023","R_3","2023-04-18 01:00","瓦尔贝里","1-1","天狼星","1-0","","","",2,2,2,2,0
"瑞典超级联赛","2023","R_3","2023-04-18 01:10","哥德堡","0-1","马尔默","0-1","","","",0,6,0,6,-6
"挪威超级联赛","2023","R_1","2023-04-20 00:30","利勒斯特罗姆","4-3","斯托姆加斯特","2-2","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_4","2023-04-22 21:00","哈马比","2-0","瓦尔贝里","1-0","","","",3,3,3,3,0
"瑞典超级联赛","2023","R_4","2023-04-22 23:30","代格福什","1-2","埃尔夫斯堡","1-1","","","",3,4,3,4,-1
"挪威超级联赛","2023","R_3","2023-04-22 23:59","布兰","3-1","瓦勒伦加","1-1","","","",3,3,3,3,0
"巴西甲组联赛","2023","R_2","2023-04-23 03:00","弗鲁米嫩塞","2-0","巴拉纳竞技","1-0","","","",3,3,3,3,0
"巴西甲组联赛","2023","R_2","2023-04-23 05:30","圣保罗","3-0","米内罗美洲","1-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_2","2023-04-23 05:30","库亚巴","1-1","布拉干蒂诺RB","0-0","","","",0,3,0,3,-3
"巴西甲组联赛","2023","R_2","2023-04-23 08:00","克鲁塞罗","1-0","格雷米奥","0-0","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_4","2023-04-23 21:00","尤尔加登","1-0","哥德堡","1-0","","","",4,0,4,0,4
"瑞典超级联赛","2023","R_4","2023-04-23 21:00","卡尔马","2-0","哈尔姆斯塔德","1-0","","","",6,6,6,6,0
"巴西甲组联赛","2023","R_2","2023-04-23 22:00","巴西国际","2-1","弗拉门戈","0-0","","","",1,3,1,3,-2
"挪威超级联赛","2023","R_3","2023-04-23 23:00","特罗姆瑟","1-1","维京","1-0","","","",4,3,4,3,1
"挪威超级联赛","2023","R_3","2023-04-23 23:00","斯塔贝克","3-0","海于格松","1-0","","","",1,3,1,3,-2
"挪威超级联赛","2023","R_3","2023-04-23 23:00","奥勒松","0-3","博德闪耀","0-2","","","",0,6,0,6,-6
"挪威超级联赛","2023","R_3","2023-04-23 23:00","萨普斯堡","0-0","奥德格伦兰","0-0","","","",3,4,3,4,-1
"挪威超级联赛","2023","R_3","2023-04-23 23:00","汉坎","2-0","斯托姆加斯特","0-0","","","",3,3,3,3,0
"挪威超级联赛","2023","R_3","2023-04-23 23:00","罗森博格","1-1","桑德菲杰","0-1","","","",4,1,4,1,3
"瑞典超级联赛","2023","R_4","2023-04-23 23:30","天狼星","1-4","赫根","0-1","","","",3,6,3,6,-3
"挪威超级联赛","2023","R_3","2023-04-24 01:15","利勒斯特罗姆","2-1","莫尔德","2-1","","","",3,1,3,1,2
"巴西甲组联赛","2023","R_2","2023-04-24 03:00","桑托斯","0-0","米内罗竞技","0-0","","","",0,0,0,0,0
"巴西甲组联赛","2023","R_2","2023-04-24 03:00","瓦斯科达伽马","2-2","帕尔梅拉斯","2-1","","","",3,3,3,3,0
"巴西甲组联赛","2023","R_2","2023-04-24 05:30","科里蒂巴","0-3","福塔雷萨","0-0","","","",0,1,0,1,-1
"巴西甲组联赛","2023","R_2","2023-04-24 06:00","戈伊亚斯","3-1","科林蒂安","1-1","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_4","2023-04-25 01:00","韦纳穆","1-0","索尔纳","0-0","","","",3,3,3,3,0
"瑞典超级联赛","2023","R_4","2023-04-25 01:00","布洛马波卡纳","2-0","米亚尔比","1-0","","","",0,7,0,7,-7
"瑞典超级联赛","2023","R_4","2023-04-25 01:10","马尔默","3-0","北雪平","1-0","","","",9,7,9,7,2
"巴西甲组联赛","2023","R_2","2023-04-25 07:00","巴伊亚","1-2","博塔弗戈","1-1","","","",0,3,0,3,-3
"瑞典超级联赛","2023","R_5","2023-04-29 21:00","索尔纳","0-0","天狼星","0-0","","","",3,3,3,2,1
"瑞典超级联赛","2023","R_5","2023-04-29 21:00","米亚尔比","0-1","埃尔夫斯堡","0-0","","","",7,7,6,7,-1
"瑞典超级联赛","2023","R_5","2023-04-29 23:30","赫根","3-1","韦纳穆","2-0","","","",9,6,6,3,3
"瑞典超级联赛","2023","R_5","2023-04-29 23:30","哈尔姆斯塔德","0-2","布洛马波卡纳","0-1","","","",6,3,3,3,0
"挪威超级联赛","2023","R_4","2023-04-29 23:59","博德闪耀","2-2","布兰","0-2","","","",9,6,9,6,3
"巴西甲组联赛","2023","R_3","2023-04-30 03:30","科里蒂巴","1-1","圣保罗","1-0","","","",0,3,0,3,-3
"巴西甲组联赛","2023","R_3","2023-04-30 03:30","福塔雷萨","4-2","弗鲁米嫩塞","2-1","","","",4,6,4,6,-2
"巴西甲组联赛","2023","R_3","2023-04-30 05:30","布拉干蒂诺RB","0-3","克鲁塞罗","0-1","","","",4,3,4,3,1
"巴西甲组联赛","2023","R_3","2023-04-30 05:30","帕尔梅拉斯","2-1","科林蒂安","2-0","","","",4,3,4,3,1
"巴西甲组联赛","2023","R_3","2023-04-30 05:30","桑托斯","3-2","米内罗美洲","2-1","","","",1,0,1,0,1
"巴西甲组联赛","2023","R_3","2023-04-30 08:00","米内罗竞技","2-1","巴拉纳竞技","1-0","","","",1,3,1,3,-2
"瑞典超级联赛","2023","R_5","2023-04-30 21:00","马尔默","4-2","哈马比","3-0","","","",12,6,9,3,6
"瑞典超级联赛","2023","R_5","2023-04-30 21:00","瓦尔贝里","0-0","卡尔马","0-0","","","",3,9,2,9,-7
"挪威超级联赛","2023","R_4","2023-04-30 23:00","桑德菲杰","4-0","奥勒松","2-0","","","",2,0,2,0,2
"挪威超级联赛","2023","R_4","2023-04-30 23:00","维京","7-3","汉坎","0-1","","","",4,6,4,6,-2
"挪威超级联赛","2023","R_4","2023-04-30 23:00","莫尔德","2-3","斯塔贝克","1-2","","","",1,4,1,4,-3
"挪威超级联赛","2023","R_4","2023-04-30 23:00","海于格松","0-0","萨普斯堡","0-0","","","",3,4,3,4,-1
"挪威超级联赛","2023","R_4","2023-04-30 23:00","斯托姆加斯特","0-1","特罗姆瑟","0-0","","","",3,5,3,5,-2
"瑞典超级联赛","2023","R_5","2023-04-30 23:30","代格福什","2-1","尤尔加登","1-1","","","",3,7,3,4,-1
"挪威超级联赛","2023","R_4","2023-05-01 01:15","奥德格伦兰","0-0","罗森博格","0-0","","","",5,5,5,5,0
"巴西甲组联赛","2023","R_3","2023-05-01 03:00","弗拉门戈","2-3","博塔弗戈","0-2","","","",3,6,3,6,-3
"巴西甲组联赛","2023","R_3","2023-05-01 05:30","巴西国际","1-0","戈伊亚斯","0-0","","","",4,3,4,3,1
"巴西甲组联赛","2023","R_3","2023-05-01 05:30","库亚巴","1-2","格雷米奥","1-1","","","",1,3,1,3,-2
"瑞典超级联赛","2023","R_5","2023-05-01 21:00","哥德堡","1-1","北雪平","1-1","","","",0,7,0,6,-6
"挪威超级联赛","2023","R_4","2023-05-01 23:59","瓦勒伦加","3-4","利勒斯特罗姆","3-1","","","",3,6,3,6,-3
"巴西甲组联赛","2023","R_3","2023-05-02 07:00","瓦斯科达伽马","0-1","巴伊亚","0-1","","","",4,0,4,0,4
"挪威超级联赛","2023","R_17","2023-05-03 23:59","莫尔德","3-0","奥勒松","0-0","","","",1,0,1,0,1
"挪威超级联赛","2023","R_18","2023-05-03 23:59","博德闪耀","2-0","奥德格伦兰","0-0","","","",10,6,7,5,2
"挪威超级联赛","2023","R_18","2023-05-03 23:59","罗森博格","0-2","布兰","0-1","","","",6,7,3,4,-1
"瑞典超级联赛","2023","R_6","2023-05-04 01:00","埃尔夫斯堡","6-1","哈尔姆斯塔德","0-1","","","",10,6,9,3,6
"瑞典超级联赛","2023","R_6","2023-05-04 01:00","赫根","4-1","尤尔加登","0-1","","","",12,7,6,3,3
"瑞典超级联赛","2023","R_6","2023-05-04 01:00","卡尔马","2-2","天狼星","2-0","","","",10,4,7,2,5
"瑞典超级联赛","2023","R_6","2023-05-04 01:00","米亚尔比","0-0","索尔纳","0-0","","","",7,4,3,4,-1
"瑞典超级联赛","2023","R_6","2023-05-05 01:00","哥德堡","6-0","代格福什","3-0","","","",1,6,1,3,-2
"瑞典超级联赛","2023","R_6","2023-05-05 01:00","北雪平","2-0","哈马比","0-0","","","",8,6,4,3,1
"瑞典超级联赛","2023","R_6","2023-05-05 01:00","韦纳穆","0-1","布洛马波卡纳","0-0","","","",6,6,3,6,-3
"瑞典超级联赛","2023","R_6","2023-05-05 01:15","瓦尔贝里","0-6","马尔默","0-3","","","",4,15,2,9,-7
"挪威超级联赛","2023","R_5","2023-05-06 23:59","罗森博格","1-3","瓦勒伦加","0-1","","","",6,3,2,0,2
"巴西甲组联赛","2023","R_4","2023-05-07 03:00","克鲁塞罗","2-1","桑托斯","1-0","","","",6,4,6,4,2
"巴西甲组联赛","2023","R_4","2023-05-07 08:00","弗鲁米嫩塞","1-1","瓦斯科达伽马","0-1","","","",6,4,6,4,2
"瑞典超级联赛","2023","R_7","2023-05-07 21:00","马尔默","3-1","索尔纳","3-1","","","",18,5,9,2,7
"巴西甲组联赛","2023","R_4","2023-05-07 22:00","米内罗美洲","1-2","库亚巴","1-0","","","",0,1,0,1,-1
"挪威超级联赛","2023","R_5","2023-05-07 23:00","维京","1-1","斯托姆加斯特","0-0","","","",7,3,7,0,7
"挪威超级联赛","2023","R_5","2023-05-07 23:00","斯塔贝克","1-1","萨普斯堡","0-0","","","",7,5,6,5,1
"挪威超级联赛","2023","R_5","2023-05-07 23:00","特罗姆瑟","0-1","奥德格伦兰","0-0","","","",8,6,5,2,3
"挪威超级联赛","2023","R_5","2023-05-07 23:00","汉坎","0-4","莫尔德","0-1","","","",6,4,3,3,0
"挪威超级联赛","2023","R_5","2023-05-07 23:00","奥勒松","0-0","海于格松","0-0","","","",0,4,0,4,-4
"瑞典超级联赛","2023","R_7","2023-05-07 23:30","哈尔姆斯塔德","1-0","赫根","1-0","","","",6,15,0,9,-9
"挪威超级联赛","2023","R_5","2023-05-08 01:15","利勒斯特罗姆","1-2","博德闪耀","0-0","","","",9,13,9,7,2
"巴西甲组联赛","2023","R_4","2023-05-08 03:00","巴拉纳竞技","2-1","弗拉门戈","1-1","","","",3,3,3,3,0
"巴西甲组联赛","2023","R_4","2023-05-08 03:00","巴伊亚","3-1","科里蒂巴","1-0","","","",3,1,3,1,2
"巴西甲组联赛","2023","R_4","2023-05-08 03:00","圣保罗","2-0","巴西国际","1-0","","","",4,7,4,7,-3
"巴西甲组联赛","2023","R_4","2023-05-08 05:30","戈伊亚斯","0-5","帕尔梅拉斯","0-1","","","",3,7,3,7,-4
"巴西甲组联赛","2023","R_4","2023-05-08 05:30","格雷米奥","3-3","布拉干蒂诺RB","1-1","","","",6,4,6,4,2
"巴西甲组联赛","2023","R_4","2023-05-08 05:30","博塔弗戈","2-0","米内罗竞技","1-0","","","",9,4,9,4,5
"挪威超级联赛","2023","R_5","2023-05-09 01:00","布兰","0-0","桑德菲杰","0-0","","","",10,5,7,5,2
"瑞典超级联赛","2023","R_7","2023-05-09 01:00","布洛马波卡纳","0-0","哥德堡","0-0","","","",9,4,9,4,5
"瑞典超级联赛","2023","R_7","2023-05-09 01:00","代格福什","0-2","北雪平","0-1","","","",6,11,3,4,-1
"瑞典超级联赛","2023","R_7","2023-05-09 01:00","天狼星","3-4","埃尔夫斯堡","2-1","","","",5,13,2,9,-7
"瑞典超级联赛","2023","R_7","2023-05-09 01:10","尤尔加登","3-1","卡尔马","2-0","","","",7,11,3,5,-2
