联赛,赛季,轮次,比赛时间,主队,完场比分,客队,半场比分,bet365亚盘初盘,bet365大小球初盘,bet365胜平负初盘,主队近30场比赛积分,客队近30场比赛积分,主队近3场比赛积分,客队近3场比赛积分,主客队近3场强弱
"巴西甲组联赛","2023","R_35","2023-11-26 08:00","弗鲁米嫩塞","2-1","科里蒂巴","1-0","","","",43,28,5,6,-1
"意大利甲组联赛","2023-2024","R_13","2023-11-26 19:30","卡利亚里","1-1","蒙扎","1-0","","","",9,17,6,5,1
"法国甲组联赛","2023-2024","R_13","2023-11-26 20:00","尼斯","1-0","图卢兹","0-0","","","",26,12,7,1,6
"西班牙甲组联赛","2023-2024","R_14","2023-11-26 21:00","比利亚雷亚尔","3-1","奥萨苏纳","0-0","","","",12,14,3,1,2
"法国甲组联赛","2023-2024","R_13","2023-11-26 22:00","洛里昂","2-3","梅斯","2-1","","","",11,13,1,5,-4
"法国甲组联赛","2023-2024","R_13","2023-11-26 22:00","蒙彼利埃","1-3","布雷斯特","0-1","","","",13,15,4,0,4
"法国甲组联赛","2023-2024","R_13","2023-11-26 22:00","南特","0-0","勒阿弗尔","0-0","","","",14,15,0,5,-5
"意大利甲组联赛","2023-2024","R_13","2023-11-26 22:00","恩波利","3-4","萨索洛","2-2","","","",10,12,3,2,1
"意大利甲组联赛","2023-2024","R_13","2023-11-26 22:00","弗洛西诺尼","2-1","热那亚","1-1","","","",15,14,3,6,-3
"德国甲组联赛","2023-2024","R_12","2023-11-26 22:30","海登海姆","0-0","波鸿","0-0","","","",10,9,3,5,-2
"西班牙甲组联赛","2023-2024","R_14","2023-11-26 23:15","皇家社会","2-1","塞维利亚","2-0","","","",22,12,4,3,1
"挪威超级联赛","2023","R_29","2023-11-26 23:59","布兰","4-2","博德闪耀","3-0","","","",58,67,7,9,-2
"挪威超级联赛","2023","R_29","2023-11-26 23:59","奥勒松","0-4","维京","0-2","","","",18,55,0,3,-3
"挪威超级联赛","2023","R_29","2023-11-26 23:59","汉坎","0-2","瓦勒伦加","0-0","","","",33,25,6,1,5
"挪威超级联赛","2023","R_29","2023-11-26 23:59","特罗姆瑟","2-1","海于格松","1-0","","","",57,30,6,3,3
"挪威超级联赛","2023","R_29","2023-11-26 23:59","萨普斯堡","1-3","莫尔德","0-2","","","",41,47,4,3,1
"挪威超级联赛","2023","R_29","2023-11-26 23:59","罗森博格","1-3","斯托姆加斯特","1-2","","","",36,36,6,6,0
"挪威超级联赛","2023","R_29","2023-11-26 23:59","斯塔贝克","2-1","桑德菲杰","1-0","","","",26,28,2,7,-5
"挪威超级联赛","2023","R_29","2023-11-26 23:59","利勒斯特罗姆","4-4","奥德格伦兰","1-3","","","",42,34,3,3,0
"法国甲组联赛","2023-2024","R_13","2023-11-27 00:05","雷恩","3-1","兰斯","1-1","","","",12,20,1,6,-5
"德国甲组联赛","2023-2024","R_12","2023-11-27 00:30","霍芬海姆","1-1","美因茨","0-1","","","",19,7,4,5,-1
"意大利甲组联赛","2023-2024","R_13","2023-11-27 01:00","罗马","3-1","乌迪内斯","1-0","","","",18,11,4,5,-1
"西班牙甲组联赛","2023-2024","R_14","2023-11-27 01:30","加的斯","0-3","皇家马德里","0-1","","","",10,32,1,7,-6
"巴西甲组联赛","2023","R_35","2023-11-27 03:00","米内罗竞技","3-0","格雷米奥","1-0","","","",53,52,5,6,-1
"巴西甲组联赛","2023","R_35","2023-11-27 03:00","博塔弗戈","1-1","桑托斯","1-0","","","",49,38,2,5,-3
"法国甲组联赛","2023-2024","R_13","2023-11-27 03:45","里昂","0-2","里尔","0-2","","","",7,20,4,5,-1
"意大利甲组联赛","2023-2024","R_13","2023-11-27 03:45","尤文图斯","1-1","国际米兰","1-1","","","",29,31,9,9,0
"西班牙甲组联赛","2023-2024","R_14","2023-11-27 04:00","皇家贝蒂斯","1-0","拉斯帕尔马斯","1-0","","","",21,18,7,7,0
"巴西甲组联赛","2023","R_35","2023-11-27 05:30","福塔雷萨","2-2","帕尔梅拉斯","1-0","","","",36,52,1,6,-5
"巴西甲组联赛","2023","R_35","2023-11-27 05:30","巴西国际","1-0","布拉干蒂诺RB","1-0","","","",36,54,4,1,3
"巴西甲组联赛","2023","R_35","2023-11-27 05:30","圣保罗","0-0","库亚巴","0-0","","","",39,43,4,7,-3
"巴西甲组联赛","2023","R_35","2023-11-27 05:30","米内罗美洲","0-3","弗拉门戈","0-1","","","",21,57,1,7,-6
"意大利甲组联赛","2023-2024","R_13","2023-11-28 01:30","维罗纳","2-2","莱切","1-1","","","",8,14,0,1,-1
"意大利甲组联赛","2023-2024","R_13","2023-11-28 03:45","博洛尼亚","2-0","都灵","0-0","","","",18,16,4,7,-3
"西班牙甲组联赛","2023-2024","R_14","2023-11-28 04:00","赫罗纳","1-1","毕尔巴鄂竞技","0-0","","","",34,24,9,7,2
"巴西甲组联赛","2023","R_35","2023-11-28 08:00","戈伊亚斯","0-1","克鲁塞罗","0-0","","","",32,32,3,4,-1
"巴西甲组联赛","2023","R_36","2023-11-29 08:30","瓦斯科达伽马","2-4","科林蒂安","2-2","","","",36,40,5,4,1
"法国甲组联赛","2023-2024","R_8","2023-11-30 02:00","蒙彼利埃","1-1","克莱蒙","0-1","","","",13,9,1,4,-3
"西班牙甲组联赛","2023-2024","R_13","2023-11-30 04:00","马洛卡","1-1","加的斯","1-1","","","",9,10,1,1,0
"巴西甲组联赛","2023","R_36","2023-11-30 06:00","桑托斯","0-3","弗鲁米嫩塞","0-2","","","",36,43,5,7,-2
"巴西甲组联赛","2023","R_36","2023-11-30 06:30","弗拉门戈","0-3","米内罗竞技","0-1","","","",57,53,7,7,0
"巴西甲组联赛","2023","R_36","2023-11-30 07:00","库亚巴","0-2","巴西国际","0-0","","","",44,39,7,4,3
"巴西甲组联赛","2023","R_36","2023-11-30 07:00","巴伊亚","0-1","圣保罗","0-0","","","",35,39,4,2,2
"巴西甲组联赛","2023","R_36","2023-11-30 08:30","帕尔梅拉斯","4-0","米内罗美洲","2-0","","","",50,20,4,0,4
"巴西甲组联赛","2023","R_36","2023-11-30 08:30","科里蒂巴","1-1","博塔弗戈","0-0","","","",27,47,6,3,3
"巴西甲组联赛","2023","R_36","2023-12-01 06:00","格雷米奥","2-1","戈伊亚斯","0-1","","","",52,32,3,0,3
"巴西甲组联赛","2023","R_36","2023-12-01 07:00","克鲁塞罗","1-1","巴拉纳竞技","0-0","","","",35,43,7,3,4
"巴西甲组联赛","2023","R_36","2023-12-01 07:30","布拉干蒂诺RB","1-2","福塔雷萨","1-2","","","",53,36,1,2,-1
"德国甲组联赛","2023-2024","R_13","2023-12-02 03:30","达姆施塔特","0-1","科隆","0-0","","","",9,6,2,2,0
"意大利甲组联赛","2023-2024","R_14","2023-12-02 03:45","蒙扎","1-2","尤文图斯","0-1","","","",18,30,5,7,-2
"法国甲组联赛","2023-2024","R_14","2023-12-02 04:00","兰斯","2-1","斯特拉斯堡","2-0","","","",20,13,3,3,0
"西班牙甲组联赛","2023-2024","R_15","2023-12-02 04:00","拉斯帕尔马斯","2-0","赫塔菲","1-0","","","",18,19,4,7,-3
"葡萄牙超级联赛","2023-2024","R_12","2023-12-02 04:30","查维斯","2-1","维泽拉","1-1","","","",7,10,0,4,-4
"西班牙甲组联赛","2023-2024","R_15","2023-12-02 21:00","赫罗纳","2-1","巴伦西亚","0-0","","","",35,19,7,4,3
"意大利甲组联赛","2023-2024","R_14","2023-12-02 22:00","热那亚","1-1","恩波利","1-0","","","",14,10,3,3,0
"德国甲组联赛","2023-2024","R_13","2023-12-02 22:30","RB莱比锡","2-1","海登海姆","2-1","","","",23,11,3,4,-1
"德国甲组联赛","2023-2024","R_13","2023-12-02 22:30","门兴格拉德巴赫","2-1","霍芬海姆","0-0","","","",13,20,4,2,2
"德国甲组联赛","2023-2024","R_13","2023-12-02 22:30","波鸿","3-1","沃尔夫斯堡","2-1","","","",10,16,5,4,1
"西班牙甲组联赛","2023-2024","R_15","2023-12-02 23:15","毕尔巴鄂竞技","4-0","巴列卡诺","1-0","","","",25,19,7,2,5
"葡萄牙超级联赛","2023-2024","R_12","2023-12-02 23:30","里奥阿维","1-1","阿马多拉","0-0","","","",9,11,4,3,1
"葡萄牙超级联赛","2023-2024","R_12","2023-12-02 23:30","法伦斯","1-2","吉马良斯","0-1","","","",16,19,9,3,6
"法国甲组联赛","2023-2024","R_14","2023-12-02 23:59","朗斯","3-2","里昂","1-1","","","",19,7,7,4,3
"意大利甲组联赛","2023-2024","R_14","2023-12-03 01:00","拉齐奥","1-0","卡利亚里","1-0","","","",17,10,1,4,-3
"西班牙甲组联赛","2023-2024","R_15","2023-12-03 01:30","皇家马德里","2-0","格拉纳达","1-0","","","",35,7,7,1,6
"德国甲组联赛","2023-2024","R_13","2023-12-03 01:30","斯图加特","2-0","云达不莱梅","1-0","","","",27,11,6,2,4
"葡萄牙超级联赛","2023-2024","R_12","2023-12-03 02:00","法马利康","0-3","波尔图","0-2","","","",16,25,4,6,-2
"意大利甲组联赛","2023-2024","R_14","2023-12-03 03:45","AC米兰","3-1","弗洛西诺尼","1-0","","","",26,18,4,6,-2
"法国甲组联赛","2023-2024","R_14","2023-12-03 04:00","南特","1-0","尼斯","1-0","","","",15,29,1,7,-6
"西班牙甲组联赛","2023-2024","R_15","2023-12-03 04:00","奥萨苏纳","1-1","皇家社会","1-1","","","",14,25,1,6,-5
"葡萄牙超级联赛","2023-2024","R_12","2023-12-03 04:30","卡萨比亚","1-0","朴迪莫伦斯","0-0","","","",10,14,1,6,-5
"巴西甲组联赛","2023","R_37","2023-12-03 05:00","科林蒂安","1-2","巴西国际","0-1","","","",42,42,6,6,0
"巴西甲组联赛","2023","R_37","2023-12-03 08:00","米内罗竞技","2-1","圣保罗","0-0","","","",53,41,9,4,5
"意大利甲组联赛","2023-2024","R_14","2023-12-03 19:30","莱切","1-1","博洛尼亚","0-0","","","",15,21,2,6,-4
"法国甲组联赛","2023-2024","R_14","2023-12-03 20:00","勒阿弗尔","0-2","巴黎圣日尔曼","0-1","","","",16,30,5,9,-4
"西班牙甲组联赛","2023-2024","R_15","2023-12-03 21:00","马洛卡","0-0","阿拉维斯","0-0","","","",10,15,1,6,-5
"法国甲组联赛","2023-2024","R_14","2023-12-03 22:00","布雷斯特","3-0","克莱蒙","2-0","","","",18,10,3,4,-1
"法国甲组联赛","2023-2024","R_14","2023-12-03 22:00","摩纳哥","2-0","蒙彼利埃","1-0","","","",24,14,4,2,2
"法国甲组联赛","2023-2024","R_14","2023-12-03 22:00","图卢兹","1-1","洛里昂","0-0","","","",12,11,1,1,0
"意大利甲组联赛","2023-2024","R_14","2023-12-03 22:00","乌迪内斯","3-3","维罗纳","2-1","","","",11,9,4,1,3
"意大利甲组联赛","2023-2024","R_14","2023-12-03 22:00","佛罗伦萨","3-0","萨勒尼塔纳","2-0","","","",20,8,3,4,-1
"德国甲组联赛","2023-2024","R_13","2023-12-03 22:30","美因茨","0-1","弗赖堡","0-0","","","",8,15,5,2,3
"西班牙甲组联赛","2023-2024","R_15","2023-12-03 23:15","阿尔梅里亚","0-0","皇家贝蒂斯","0-0","","","",3,24,0,7,-7
"葡萄牙超级联赛","2023-2024","R_12","2023-12-03 23:30","布拉加","3-1","埃斯托里尔","1-1","","","",23,10,7,6,1
"挪威超级联赛","2023","R_30","2023-12-03 23:59","维京","1-5","罗森博格","0-1","","","",58,36,6,3,3
"挪威超级联赛","2023","R_30","2023-12-03 23:59","桑德菲杰","1-0","利勒斯特罗姆","1-0","","","",28,43,6,4,2
"挪威超级联赛","2023","R_30","2023-12-03 23:59","海于格松","3-0","斯塔贝克","0-0","","","",30,29,0,4,-4
"挪威超级联赛","2023","R_30","2023-12-03 23:59","博德闪耀","2-0","萨普斯堡","1-0","","","",67,41,6,3,3
"挪威超级联赛","2023","R_30","2023-12-03 23:59","瓦勒伦加","1-1","特罗姆瑟","0-0","","","",28,60,4,6,-2
"挪威超级联赛","2023","R_30","2023-12-03 23:59","斯托姆加斯特","3-0","布兰","1-0","","","",39,61,6,9,-3
"挪威超级联赛","2023","R_30","2023-12-03 23:59","莫尔德","1-1","汉坎","0-1","","","",50,33,6,6,0
"挪威超级联赛","2023","R_30","2023-12-03 23:59","奥德格伦兰","4-1","奥勒松","2-1","","","",35,18,1,0,1
"法国甲组联赛","2023-2024","R_14","2023-12-04 00:05","里尔","2-0","梅斯","2-0","","","",23,16,5,7,-2
"德国甲组联赛","2023-2024","R_13","2023-12-04 00:30","勒沃库森","1-1","多特蒙德","0-1","","","",34,24,9,3,6
"意大利甲组联赛","2023-2024","R_14","2023-12-04 01:00","萨索洛","1-2","罗马","1-0","","","",15,21,4,7,-3
"西班牙甲组联赛","2023-2024","R_15","2023-12-04 01:30","塞维利亚","1-1","比利亚雷亚尔","0-0","","","",12,15,2,3,-1
"葡萄牙超级联赛","2023-2024","R_12","2023-12-04 02:00","摩里伦斯","0-0","本菲卡","0-0","","","",20,28,9,7,2
"德国甲组联赛","2023-2024","R_13","2023-12-04 02:30","奥格斯堡","2-1","法兰克福","1-0","","","",14,18,3,4,-1
"巴西甲组联赛","2023","R_37","2023-12-04 03:00","弗拉门戈","2-1","库亚巴","2-0","","","",54,44,6,4,2
"巴西甲组联赛","2023","R_37","2023-12-04 03:00","帕尔梅拉斯","1-0","弗鲁米嫩塞","1-0","","","",52,43,7,9,-2
"法国甲组联赛","2023-2024","R_14","2023-12-04 03:45","马赛","2-0","雷恩","1-0","","","",14,15,2,3,-1
"意大利甲组联赛","2023-2024","R_14","2023-12-04 03:45","那不勒斯","0-3","国际米兰","0-1","","","",24,32,6,7,-1
"西班牙甲组联赛","2023-2024","R_15","2023-12-04 04:00","巴塞罗那","1-0","马德里竞技","1-0","","","",31,31,7,6,1
"葡萄牙超级联赛","2023-2024","R_12","2023-12-04 04:30","博阿维斯塔","0-4","阿罗卡","0-3","","","",15,6,0,0,0
"巴西甲组联赛","2023","R_37","2023-12-04 05:30","福塔雷萨","1-0","戈伊亚斯","1-0","","","",38,29,5,0,5
"巴西甲组联赛","2023","R_37","2023-12-04 05:30","格雷米奥","1-0","瓦斯科达伽马","0-0","","","",54,36,3,2,1
"巴西甲组联赛","2023","R_37","2023-12-04 05:30","博塔弗戈","0-0","克鲁塞罗","0-0","","","",48,33,3,5,-2
"巴西甲组联赛","2023","R_37","2023-12-04 05:30","布拉干蒂诺RB","1-0","科里蒂巴","0-0","","","",52,28,0,4,-4
"巴西甲组联赛","2023","R_37","2023-12-04 05:30","米内罗美洲","3-2","巴伊亚","2-1","","","",20,35,0,4,-4
"巴西甲组联赛","2023","R_37","2023-12-04 05:30","巴拉纳竞技","3-0","桑托斯","1-0","","","",41,33,3,2,1
"意大利甲组联赛","2023-2024","R_14","2023-12-05 03:45","都灵","3-0","亚特兰大","1-0","","","",16,20,4,1,3
"西班牙甲组联赛","2023-2024","R_15","2023-12-05 04:00","塞尔塔","1-1","加的斯","0-1","","","",8,11,2,1,1
"葡萄牙超级联赛","2023-2024","R_12","2023-12-05 04:15","里斯本竞技","3-1","吉维森特","1-1","","","",28,11,6,2,4
"法国甲组联赛","2023-2024","R_10","2023-12-07 04:00","马赛","3-0","里昂","2-0","","","",17,7,4,3,1
"巴西甲组联赛","2023","R_38","2023-12-07 06:00","戈伊亚斯","1-0","米内罗美洲","1-0","","","",28,20,0,3,-3
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","巴西国际","3-1","博塔弗戈","1-0","","","",45,46,9,3,6
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","桑托斯","1-2","福塔雷萨","0-1","","","",32,41,1,7,-6
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","圣保罗","1-0","弗拉门戈","1-0","","","",38,54,4,6,-2
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","瓦斯科达伽马","2-1","布拉干蒂诺RB","1-0","","","",36,52,1,3,-2
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","巴伊亚","4-1","米内罗竞技","2-1","","","",34,53,3,9,-6
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","科里蒂巴","0-2","科林蒂安","0-2","","","",28,42,1,3,-2
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","克鲁塞罗","1-1","帕尔梅拉斯","0-1","","","",34,54,5,7,-2
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","库亚巴","3-0","巴拉纳竞技","2-0","","","",41,44,1,5,-4
"巴西甲组联赛","2023","R_38","2023-12-07 08:30","弗鲁米嫩塞","2-3","格雷米奥","1-2","","","",43,54,6,6,0
"法国甲组联赛","2023-2024","R_12","2023-12-08 03:30","布雷斯特","1-1","斯特拉斯堡","1-0","","","",21,13,6,2,4
"葡萄牙超级联赛","2023-2024","R_13","2023-12-08 23:30","维泽拉","1-3","布拉加","0-1","","","",10,26,4,9,-5
"葡萄牙超级联赛","2023-2024","R_13","2023-12-09 02:00","本菲卡","1-1","法伦斯","0-0","","","",29,16,7,6,1
"德国甲组联赛","2023-2024","R_14","2023-12-09 03:30","霍芬海姆","3-1","波鸿","2-0","","","",20,13,2,5,-3
"意大利甲组联赛","2023-2024","R_15","2023-12-09 03:45","尤文图斯","1-0","那不勒斯","0-0","","","",33,24,7,3,4
"法国甲组联赛","2023-2024","R_15","2023-12-09 04:00","蒙彼利埃","0-0","朗斯","0-0","","","",14,22,1,9,-8
"西班牙甲组联赛","2023-2024","R_16","2023-12-09 04:00","赫塔菲","1-0","巴伦西亚","0-0","","","",19,19,4,1,3
"西班牙甲组联赛","2023-2024","R_16","2023-12-09 21:00","阿拉维斯","0-1","拉斯帕尔马斯","0-1","","","",16,21,4,4,0
"意大利甲组联赛","2023-2024","R_15","2023-12-09 22:00","维罗纳","1-1","拉齐奥","0-1","","","",10,20,2,4,-2
"德国甲组联赛","2023-2024","R_14","2023-12-09 22:30","法兰克福","5-1","拜仁慕尼黑","3-1","","","",18,32,1,9,-8
"德国甲组联赛","2023-2024","R_14","2023-12-09 22:30","柏林联合","3-1","门兴格拉德巴赫","1-0","","","",7,16,1,6,-5
"德国甲组联赛","2023-2024","R_14","2023-12-09 22:30","云达不莱梅","2-0","奥格斯堡","1-0","","","",11,17,1,5,-4
"德国甲组联赛","2023-2024","R_14","2023-12-09 22:30","沃尔夫斯堡","0-1","弗赖堡","0-0","","","",16,18,3,4,-1
"德国甲组联赛","2023-2024","R_14","2023-12-09 22:30","海登海姆","3-2","达姆施塔特","1-0","","","",11,9,1,2,-1
"西班牙甲组联赛","2023-2024","R_16","2023-12-09 23:15","皇家贝蒂斯","1-1","皇家马德里","0-0","","","",25,38,5,9,-4
"葡萄牙超级联赛","2023-2024","R_13","2023-12-09 23:30","朴迪莫伦斯","1-1","法马利康","0-1","","","",14,16,3,4,-1
"法国甲组联赛","2023-2024","R_15","2023-12-09 23:59","雷恩","1-2","摩纳哥","0-0","","","",15,27,3,4,-1
"意大利甲组联赛","2023-2024","R_15","2023-12-10 01:00","亚特兰大","3-2","AC米兰","1-1","","","",20,29,1,7,-6
"西班牙甲组联赛","2023-2024","R_16","2023-12-10 01:30","比利亚雷亚尔","0-3","皇家社会","0-3","","","",16,26,4,7,-3
"德国甲组联赛","2023-2024","R_14","2023-12-10 01:30","多特蒙德","2-3","RB莱比锡","1-1","","","",25,26,4,6,-2
"葡萄牙超级联赛","2023-2024","R_13","2023-12-10 02:00","吉马良斯","3-2","里斯本竞技","1-1","","","",22,31,3,6,-3
"意大利甲组联赛","2023-2024","R_15","2023-12-10 03:45","国际米兰","4-0","乌迪内斯","3-0","","","",35,12,7,2,5
"法国甲组联赛","2023-2024","R_15","2023-12-10 04:00","巴黎圣日尔曼","2-1","南特","1-0","","","",33,18,9,4,5
"西班牙甲组联赛","2023-2024","R_16","2023-12-10 04:00","马洛卡","1-0","塞维利亚","1-0","","","",11,13,2,2,0
"葡萄牙超级联赛","2023-2024","R_13","2023-12-10 04:30","波尔图","3-1","卡萨比亚","1-0","","","",28,13,6,3,3
"意大利甲组联赛","2023-2024","R_15","2023-12-10 19:30","弗洛西诺尼","0-0","都灵","0-0","","","",18,19,3,4,-1
"法国甲组联赛","2023-2024","R_15","2023-12-10 20:00","尼斯","2-1","兰斯","0-0","","","",29,23,4,3,1
"西班牙甲组联赛","2023-2024","R_16","2023-12-10 21:00","马德里竞技","2-1","阿尔梅里亚","2-0","","","",31,4,6,1,5
"法国甲组联赛","2023-2024","R_15","2023-12-10 22:00","斯特拉斯堡","2-1","勒阿弗尔","1-0","","","",14,16,2,2,0
"法国甲组联赛","2023-2024","R_15","2023-12-10 22:00","克莱蒙","0-0","里尔","0-0","","","",10,26,1,7,-6
"法国甲组联赛","2023-2024","R_15","2023-12-10 22:00","梅斯","0-1","布雷斯特","0-0","","","",16,22,6,7,-1
"意大利甲组联赛","2023-2024","R_15","2023-12-10 22:00","蒙扎","1-0","热那亚","0-0","","","",18,15,2,4,-2
"德国甲组联赛","2023-2024","R_14","2023-12-10 22:30","斯图加特","1-1","勒沃库森","1-0","","","",30,35,9,7,2
"葡萄牙超级联赛","2023-2024","R_13","2023-12-10 23:30","阿马多拉","3-1","博阿维斯塔","0-0","","","",12,15,1,0,1
"法国甲组联赛","2023-2024","R_15","2023-12-11 00:05","里昂","3-0","图卢兹","2-0","","","",7,13,0,2,-2
"德国甲组联赛","2023-2024","R_14","2023-12-11 00:30","科隆","0-0","美因茨","0-0","","","",9,8,4,2,2
"意大利甲组联赛","2023-2024","R_15","2023-12-11 01:00","萨勒尼塔纳","1-2","博洛尼亚","0-2","","","",8,22,4,4,0
"西班牙甲组联赛","2023-2024","R_16","2023-12-11 01:30","加的斯","1-1","奥萨苏纳","1-0","","","",12,15,2,2,0
"葡萄牙超级联赛","2023-2024","R_13","2023-12-11 02:00","阿罗卡","2-2","里奥阿维","0-2","","","",9,10,3,5,-2
"法国甲组联赛","2023-2024","R_15","2023-12-11 03:45","洛里昂","2-4","马赛","1-4","","","",12,20,1,7,-6
"意大利甲组联赛","2023-2024","R_15","2023-12-11 03:45","罗马","1-1","佛罗伦萨","1-0","","","",24,23,7,6,1
"西班牙甲组联赛","2023-2024","R_16","2023-12-11 04:00","巴塞罗那","2-4","赫罗纳","1-2","","","",34,38,7,7,0
"葡萄牙超级联赛","2023-2024","R_13","2023-12-11 04:30","埃斯托里尔","4-0","查维斯","1-0","","","",10,10,6,3,3
"意大利甲组联赛","2023-2024","R_15","2023-12-12 01:30","恩波利","1-1","莱切","0-0","","","",11,16,4,3,1
"意大利甲组联赛","2023-2024","R_15","2023-12-12 03:45","卡利亚里","2-1","萨索洛","0-1","","","",10,15,1,4,-3
"西班牙甲组联赛","2023-2024","R_16","2023-12-12 04:00","巴列卡诺","0-0","塞尔塔","0-0","","","",19,9,1,2,-1
"西班牙甲组联赛","2023-2024","R_16","2023-12-12 04:00","格拉纳达","1-1","毕尔巴鄂竞技","0-1","","","",7,28,1,7,-6
"葡萄牙超级联赛","2023-2024","R_13","2023-12-12 04:15","吉维森特","1-1","摩里伦斯","1-0","","","",11,21,1,7,-6
"德国甲组联赛","2023-2024","R_15","2023-12-16 03:30","门兴格拉德巴赫","2-2","云达不莱梅","1-1","","","",16,14,3,3,0
"意大利甲组联赛","2023-2024","R_16","2023-12-16 03:45","热那亚","1-1","尤文图斯","0-1","","","",15,36,1,7,-6
"法国甲组联赛","2023-2024","R_16","2023-12-16 04:00","摩纳哥","0-1","里昂","0-0","","","",30,10,6,3,3
"西班牙甲组联赛","2023-2024","R_17","2023-12-16 04:00","奥萨苏纳","1-0","巴列卡诺","0-0","","","",16,20,2,2,0
"葡萄牙超级联赛","2023-2024","R_14","2023-12-16 04:15","法伦斯","0-0","阿马多拉","0-0","","","",17,15,4,4,0
"西班牙甲组联赛","2023-2024","R_17","2023-12-16 21:00","塞尔塔","1-0","格拉纳达","1-0","","","",10,8,3,1,2
"意大利甲组联赛","2023-2024","R_16","2023-12-16 22:00","莱切","2-1","弗洛西诺尼","1-1","","","",17,19,3,4,-1
"德国甲组联赛","2023-2024","R_15","2023-12-16 22:30","波鸿","3-0","柏林联合","1-0","","","",13,10,4,4,0
"德国甲组联赛","2023-2024","R_15","2023-12-16 22:30","达姆施塔特","0-1","沃尔夫斯堡","0-0","","","",9,16,1,3,-2
"德国甲组联赛","2023-2024","R_15","2023-12-16 22:30","美因茨","0-1","海登海姆","0-1","","","",9,14,2,4,-2
"德国甲组联赛","2023-2024","R_15","2023-12-16 22:30","奥格斯堡","1-1","多特蒙德","1-1","","","",17,25,4,4,0
"西班牙甲组联赛","2023-2024","R_17","2023-12-16 23:15","毕尔巴鄂竞技","2-0","马德里竞技","0-0","","","",29,34,5,6,-1
"葡萄牙超级联赛","2023-2024","R_14","2023-12-16 23:30","里奥阿维","1-1","维泽拉","0-0","","","",11,10,3,1,2
"法国甲组联赛","2023-2024","R_16","2023-12-16 23:59","勒阿弗尔","3-1","尼斯","2-0","","","",16,32,1,6,-5
"西班牙甲组联赛","2023-2024","R_17","2023-12-17 01:30","塞维利亚","0-3","赫塔菲","0-2","","","",13,22,1,6,-5
"意大利甲组联赛","2023-2024","R_16","2023-12-17 01:30","那不勒斯","2-1","卡利亚里","0-0","","","",24,13,3,4,-1
"德国甲组联赛","2023-2024","R_15","2023-12-17 01:30","RB莱比锡","3-1","霍芬海姆","1-1","","","",29,23,6,4,2
"葡萄牙超级联赛","2023-2024","R_14","2023-12-17 02:00","阿罗卡","3-0","吉维森特","1-0","","","",10,12,4,2,2
"意大利甲组联赛","2023-2024","R_16","2023-12-17 03:45","都灵","1-0","恩波利","1-0","","","",20,12,4,2,2
"法国甲组联赛","2023-2024","R_16","2023-12-17 04:00","朗斯","2-0","兰斯","1-0","","","",23,23,7,3,4
"西班牙甲组联赛","2023-2024","R_17","2023-12-17 04:00","巴伦西亚","1-1","巴塞罗那","0-0","","","",19,34,1,4,-3
"葡萄牙超级联赛","2023-2024","R_14","2023-12-17 04:30","博阿维斯塔","1-1","吉马良斯","0-1","","","",15,25,0,6,-6
"意大利甲组联赛","2023-2024","R_16","2023-12-17 19:30","AC米兰","3-0","蒙扎","2-0","","","",29,21,6,4,2
"法国甲组联赛","2023-2024","R_16","2023-12-17 20:00","南特","0-2","布雷斯特","0-0","","","",18,25,4,7,-3
"西班牙甲组联赛","2023-2024","R_17","2023-12-17 21:00","阿尔梅里亚","0-0","马洛卡","0-0","","","",4,14,1,5,-4
"法国甲组联赛","2023-2024","R_16","2023-12-17 22:00","图卢兹","0-0","雷恩","0-0","","","",13,15,1,3,-2
"法国甲组联赛","2023-2024","R_16","2023-12-17 22:00","洛里昂","1-2","斯特拉斯堡","0-1","","","",12,17,1,4,-3
"法国甲组联赛","2023-2024","R_16","2023-12-17 22:00","梅斯","0-1","蒙彼利埃","0-1","","","",16,15,3,2,1
"意大利甲组联赛","2023-2024","R_16","2023-12-17 22:00","佛罗伦萨","1-0","维罗纳","0-0","","","",24,11,4,3,1
"意大利甲组联赛","2023-2024","R_16","2023-12-17 22:00","乌迪内斯","2-2","萨索洛","1-0","","","",12,15,1,3,-2
"德国甲组联赛","2023-2024","R_15","2023-12-17 22:30","弗赖堡","2-0","科隆","0-0","","","",21,10,7,4,3
"西班牙甲组联赛","2023-2024","R_17","2023-12-17 23:15","皇家社会","0-0","皇家贝蒂斯","0-0","","","",29,26,7,5,2
"葡萄牙超级联赛","2023-2024","R_14","2023-12-17 23:30","摩里伦斯","5-2","朴迪莫伦斯","2-1","","","",22,15,5,4,1
"葡萄牙超级联赛","2023-2024","R_14","2023-12-17 23:30","查维斯","1-3","卡萨比亚","1-2","","","",10,13,3,3,0
"法国甲组联赛","2023-2024","R_16","2023-12-18 00:05","马赛","2-1","克莱蒙","2-0","","","",23,11,9,2,7
